n,steps,raw_certs,compressed_certs,cert_saved_pct,raw_json_bytes,compressed_json_bytes,json_saved_pct,benchmark_runs,raw_check_us,compressed_check_us,raw_check,compressed_check
0,5,7,1,85,1065,323,69,50,36,13,ok,ok
1,10,14,2,85,2109,625,70,50,82,38,ok,ok
2,15,21,3,85,3177,936,70,50,115,54,ok,ok
3,20,28,4,85,4263,1254,70,50,173,70,ok,ok
4,25,35,5,85,5359,1576,70,50,229,95,ok,ok
5,30,42,6,85,6465,1902,70,50,279,126,ok,ok
6,35,49,7,85,7571,2228,70,50,339,155,ok,ok
7,40,56,8,85,8677,2554,70,50,405,192,ok,ok
8,45,63,9,85,9783,2880,70,50,484,230,ok,ok
9,50,70,10,85,10889,3206,70,50,558,272,ok,ok
10,55,77,11,85,11995,3532,70,50,639,328,ok,ok
11,60,84,12,85,13101,3858,70,50,736,371,ok,ok
12,65,91,13,85,14207,4184,70,50,824,422,ok,ok
13,70,98,14,85,15313,4510,70,50,939,483,ok,ok
14,75,105,15,85,16419,4836,70,50,1067,553,ok,ok
15,80,112,16,85,17525,5162,70,50,1148,600,ok,ok
16,85,119,17,85,18631,5488,70,50,1261,668,ok,ok
17,90,126,18,85,19737,5814,70,50,1373,737,ok,ok
18,95,133,19,85,20843,6140,70,50,1491,812,ok,ok
19,100,140,20,85,21949,6466,70,50,1621,885,ok,ok
20,105,147,21,85,23055,6792,70,50,1824,1016,ok,ok
21,110,154,22,85,24161,7118,70,50,1973,1066,ok,ok
22,115,161,23,85,25267,7444,70,50,2069,1168,ok,ok
23,120,168,24,85,26373,7770,70,50,2287,1244,ok,ok
24,125,175,25,85,27479,8096,70,50,2380,1549,ok,ok
25,130,182,26,85,28627,8438,70,50,2573,1454,ok,ok
26,135,189,27,85,29775,8780,70,50,2728,1522,ok,ok
27,140,196,28,85,30923,9122,70,50,2861,1698,ok,ok
28,145,203,29,85,32071,9464,70,50,3162,2529,ok,ok
29,150,210,30,85,33219,9806,70,50,11104,4574,ok,ok
30,155,217,31,85,34367,10148,70,50,4072,1970,ok,ok
31,160,224,32,85,35515,10490,70,50,3616,2086,ok,ok
32,165,231,33,85,36663,10832,70,50,3842,2236,ok,ok
33,170,238,34,85,37811,11174,70,50,4019,2385,ok,ok
34,175,245,35,85,38959,11516,70,50,4278,2482,ok,ok
35,180,252,36,85,40107,11858,70,50,4440,3750,ok,ok
36,185,259,37,85,41255,12200,70,50,4759,2730,ok,ok
37,190,266,38,85,42403,12542,70,50,4848,2886,ok,ok
38,195,273,39,85,43551,12884,70,50,5063,3026,ok,ok
39,200,280,40,85,44699,13226,70,50,5328,3170,ok,ok
40,205,287,41,85,45847,13568,70,50,5610,3309,ok,ok
41,210,294,42,85,46995,13910,70,50,5835,3470,ok,ok
42,215,301,43,85,48143,14252,70,50,6074,3619,ok,ok
43,220,308,44,85,49291,14594,70,50,6320,5833,ok,ok
44,225,315,45,85,50439,14936,70,50,13246,4595,ok,ok
45,230,322,46,85,51587,15278,70,50,7130,4255,ok,ok
46,235,329,47,85,52735,15620,70,50,7315,4281,ok,ok
47,240,336,48,85,53883,15962,70,50,7348,4464,ok,ok
48,245,343,49,85,55031,16304,70,50,7735,4646,ok,ok
49,250,350,50,85,56189,16650,70,50,7922,4804,ok,ok
50,255,357,51,85,57357,17000,70,50,8185,4984,ok,ok
51,260,364,52,85,58525,17350,70,50,8454,5164,ok,ok
52,265,371,53,85,59693,17700,70,50,8761,5361,ok,ok
53,270,378,54,85,60861,18050,70,50,9066,5549,ok,ok
54,275,385,55,85,62029,18400,70,50,9372,5745,ok,ok
55,280,392,56,85,63197,18750,70,50,9685,5966,ok,ok
56,285,399,57,85,64365,19100,70,50,10172,6181,ok,ok
57,290,406,58,85,65533,19450,70,50,10503,6363,ok,ok
58,295,413,59,85,66701,19800,70,50,10679,6591,ok,ok
59,300,420,60,85,67869,20150,70,50,11060,6806,ok,ok
60,305,427,61,85,69037,20500,70,50,11334,7013,ok,ok
61,310,434,62,85,70205,20850,70,50,11679,7227,ok,ok
62,315,441,63,85,71373,21200,70,50,12092,7441,ok,ok
63,320,448,64,85,72541,21550,70,50,12384,7801,ok,ok
64,325,455,65,85,73709,21900,70,50,12745,7907,ok,ok
65,330,462,66,85,74877,22250,70,50,13102,8368,ok,ok
66,335,469,67,85,76045,22600,70,50,13592,8405,ok,ok
67,340,476,68,85,77213,22950,70,50,13873,8644,ok,ok
68,345,483,69,85,78381,23300,70,50,14245,8979,ok,ok
69,350,490,70,85,79549,23650,70,50,14642,9209,ok,ok
70,355,497,71,85,80717,24000,70,50,14971,9401,ok,ok
71,360,504,72,85,81885,24350,70,50,15441,9646,ok,ok
72,365,511,73,85,83053,24700,70,50,15787,9939,ok,ok
73,370,518,74,85,84221,25050,70,50,16222,10267,ok,ok
74,375,525,75,85,85389,25400,70,50,16845,10554,ok,ok
75,380,532,76,85,86557,25750,70,50,17059,10698,ok,ok
76,385,539,77,85,87725,26100,70,50,17680,10996,ok,ok
77,390,546,78,85,88893,26450,70,50,17944,11221,ok,ok
78,395,553,79,85,90061,26800,70,50,18401,11518,ok,ok
79,400,560,80,85,91229,27150,70,50,18820,11883,ok,ok
80,405,567,81,85,92397,27500,70,50,19343,12068,ok,ok
81,410,574,82,85,93565,27850,70,50,19632,12387,ok,ok
82,415,581,83,85,94733,28200,70,50,20081,15098,ok,ok
83,420,588,84,85,95901,28550,70,50,20631,12976,ok,ok
84,425,595,85,85,97069,28900,70,50,21014,13354,ok,ok
85,430,602,86,85,98237,29250,70,50,21536,13542,ok,ok
86,435,609,87,85,99405,29600,70,50,23988,15346,ok,ok
87,440,616,88,85,100573,29950,70,50,22638,14193,ok,ok
88,445,623,89,85,101741,30300,70,50,22868,14548,ok,ok
89,450,630,90,85,102909,30650,70,50,25193,14851,ok,ok
90,455,637,91,85,104077,31000,70,50,23888,15170,ok,ok
91,460,644,92,85,105245,31350,70,50,24333,15504,ok,ok
92,465,651,93,85,106413,31700,70,50,24790,16258,ok,ok
93,470,658,94,85,107581,32050,70,50,25482,16271,ok,ok
94,475,665,95,85,108749,32400,70,50,25816,16504,ok,ok
95,480,672,96,85,109917,32750,70,50,26346,16967,ok,ok
96,485,679,97,85,111085,33100,70,50,26854,17130,ok,ok
97,490,686,98,85,112253,33450,70,50,27405,17483,ok,ok
98,495,693,99,85,113421,33800,70,50,28020,17834,ok,ok
99,500,700,100,85,114589,34150,70,50,28534,18176,ok,ok
100,505,707,101,85,115757,34500,70,50,29107,18603,ok,ok
